[4:12];[7:3];[7:10];[7:14]
587.716;0;20.0955;0.0132532
587.716;0;20.0955;0.0112793
588.327;0;20.0521;0.0183289
589.059;0;20.0521;0.0107153
588.937;0;20.0521;0.0124072
589.181;0;20.0376;0.016637
588.571;0;20.0087;0.0121252
588.449;0;20.0087;0.016637
588.693;0;19.9942;0.0109973
588.449;0;19.9942;0.0177649
587.96;0;19.9797;0.0138171
587.96;0;19.9797;0.0143811
587.472;0;19.9797;0.0112793
589.425;0;19.9653;0.0174829
588.937;0;19.9653;0.0129712
588.937;0;19.9653;0.0112793
588.327;0;19.9653;0.015509
588.449;0;20.0231;0.0149451
588.815;0;20.081;0.0107153
588.205;0;20.081;0.0129712
588.083;0;20.1244;0.0149451
587.594;0;20.1244;0.0135352
587.35;0;20.1244;0.0104333
589.425;0;20.1534;0.0101514
588.205;0;20.1534;0.0135352
589.059;0;20.1823;0.0180469
588.083;0;20.2112;0.0109973
588.205;0;20.2112;0.0143811
588.449;0;20.2257;0.0115613
587.716;0;20.2257;0.0121252
587.96;0;20.2257;0.015791
587.594;0;20.2257;0.0104333
587.228;0;20.2402;0.015791
589.181;0;20.2402;0.0104333
588.693;0;20.2402;0.0143811
588.937;0;20.2546;0.0183289
587.96;0.579664;20.2546;0.0107153
588.449;0.579664;20.2546;0.0140991
588.205;0;20.2546;0.0118433
588.083;0;20.2546;0.0109973
587.594;0;20.2546;0.0169189
587.838;0;20.2546;0.0121252
587.35;0;20.2546;0.016073
588.693;0;20.2546;0.0109973
588.205;0;20.2691;0.0135352
588.693;0;20.2691;0.0132532
587.594;0;20.2691;0.0107153
587.472;0;20.2691;0.0177649
587.96;0;20.2691;0.0121252
588.083;0;20.2691;0.0191748
